review_id,app_id,rating,comment,date,sentiment,comment_en
45425d35-d93e-4083-81a8-030f78ce6f5d,008,3,app học ok nma phải mua gói học nếu bạn muốn giỏi thì nên tải thêm app khác tại app này chủ yếu là từ vựng thôi,2023-11-13 13:24:43,Neutral,ok learning app nma you have to buy a learning package if you want to be good then you should download another app this app is mainly for vocabulary only
401bd5c7-ece6-4a4f-9299-ddf53776fe88,008,3,"please update more advanced lessons for learners. if you want to gain more subscribe, you need to have more game to improve writing, speaking, reading and listening skills in the languages. please focus on improving these recent languages you guys have, not to add more languages 😭😭",2023-10-04 19:56:10,Neutral,"please update more advanced lessons for learners.if you want to gain more subscribers, you need to have more games to improve writing, speaking, reading and listening skills in the languages.please focus on improving these recent languages ​​you guys have, not to add more languages ​​😭😭"
adf05bd0-d6a7-4bbe-8f2d-50953cc8ea33,008,3,tui cho 3 sao vì lúc vào bài học tự nhiên nó tải bài tập lâu làm tốn thời gian lắm mong nhà sản xuất chỉnh lại cho các bạn khác còn tui thì tải áp khác tui học cái áp này cũng lâu rồi mà giờ bị lỗi này thật là buồn good bye áp nha 😔😔,2022-09-28 13:09:31,Neutral,"I give 3 stars because when starting the lesson, it suddenly takes a long time to load the exercises and it takes a lot of time. I hope the manufacturer will fix it for other students, but for me, I have to download a different voltage. I learned this lesson a long time ago, but now I have this error. It's really sad. Good bye, 😔😔"
cb44350a-5f0f-480f-819a-6c11c03d4e1c,008,3,cách học của app rất tốt nhưng mình tìm ứng dụng miễn phí và hiệu quả vì mình ko có tiền để học tiếng hàn mẹ mình thì bắt học tiếng anh nên là mình phải tìm cách học miễn phí nhưng lại bắt mình đóng tiền mới học đc nên mình sẽ đi tìm app miễn phí để học :(,2022-03-17 15:01:59,Neutral,"The app's learning method is very good, but I'm looking for a free and effective app because I don't have money to learn Korean. My mother forces me to learn English, so I have to find a way to learn for free, but it forces me to pay to learn, so I'm going to find a free app to learn :("
bece3d53-160b-4ba9-ba80-d38e3c78f542,008,3,lúc nghe câu chuyện học câu và dịch nghĩa toàn là tiếng anh em chả hiểu chỉ cách em chỉnh lại bằng tiếng việt em đổi lại 5 sao cho,2022-03-11 13:31:38,Neutral,"When listening to the story, learning the sentences and translating the meaning, it was all in English and I didn't understand. I just edited it in Vietnamese and changed it to 5 stars."
ac82a01c-13a3-40bc-9478-5997978188bc,008,3,app dùng khá là tốt nhưng nếu học miễn phí sẽ không được học nhiều. mình mong app sẽ cải tiến phần này để có nhiều người dùng hơn,2022-03-09 03:04:36,Neutral,"The app is quite good to use, but if you learn for free you won't learn much.I hope the app will improve this part to have more users"
aba122d6-0095-47e5-aac5-ab2a823b23bb,008,3,ứng dụng không có dấu cách nên khi tôi gõ từ a dog thì lại không đúng nên tôi phải làm lại rất nhiều.mong người tạo ra ứng dụng này sẽ cho những người tải ứng dụng này 1 cái bàn phím như kiểu nhắn tin để cho máy sẽ chấm đúng hơn và chúng tôi sẽ không phải làm lại.tôi sẽ tạm xóa ứng dụng này ở máy cho đến khi người tạo ra ứng dụng khiến cho tôi phải hài lòng thì lúc đó tôi sẽ tải về dùng 1 thời gian rồi xem có ổn hay không nếu ổn tôi sẽ cho 5 sao và chia sẻ cho mọi người dùng app này .,2022-01-28 05:59:34,Neutral,"The app doesn't have spaces so when I type the word a dog it's not correct so I have to do it again a lot. I hope the creator of this app will give those who download this app a keyboard like texting so that the machine can score more accurately and we won't have to do it again. I will temporarily delete this app from my device until the app creator makes me satisfied, then I will download it and use it for a while and see if it's okay or not. If it's okay, I'll give it 5 stars and share.for everyone using this app."
682570eb-f48b-42c9-b60a-2decb3be8ad5,008,3,"tuy tốt nhưng phải mua gói, tôi thì ko có tiền nên ko mua đc ai có tiền thì mua chứ tôi ko có nên là... tôi thích đáng giá 3sao.",2022-01-19 12:44:46,Neutral,"Although it's good, you have to buy a package. I don't have money so I can't buy it. Anyone who has money can buy it, but I don't so... I like it, it's worth 3 stars."
37a9352c-a650-4259-bbe9-6b46a74ffb01,008,3,"đến cái chủ đề định từ thì vào nó cứ hiện lên cái khuyến mãi mùa đông ý chẳng học được cái j cả.nó bảo là khuyến mãi kết thúc trong 47:39:30,nhưng mấy ngày sau tôi lại thấy nó như thế này47:20:39.nên là mất ngày nay chẳng học được j.",2022-01-18 08:30:47,Neutral,"When it comes to the subject of prepositions, it keeps showing up with the winter promotion and I can't learn anything. It says the promotion ends in 47:39:30, but a few days later I see it like this 47:20:39. So I lost today and can't learn anything."
6c354cd4-5602-488c-b04d-a2b0e59bcb7a,008,3,"tại sao phần tiếng nhật trong bài nghề nghiệp lại kh cho học và bắt buộc phải mua gói? mới c2 kh kiếm ra tiền sao mua gói đc, ai giúp em với ạ",2022-01-17 13:36:30,Neutral,"Why is the Japanese section of the career lesson not allowed and must be purchased as a package?I'm new and don't have enough money to buy a package, can anyone help me?"
55e99ce2-a8bf-4cda-8343-94977a4befca,008,3,"biết là muốn ngta mua để duy trì app, nhg mới học xong quốc tịch đã bắt đóng tiền trong khi tôi là học sinh:)) biết lấy đâu ra chín trăm mấy để đóng?",2021-12-16 09:55:12,Neutral,"I know I want someone to buy it to maintain the app, but I just finished studying for my citizenship and already have to pay money while I'm a student :)) Where can I get nine hundred to pay?"
02c4bb33-4305-426a-99fd-e95ee645e572,008,3,"học thì rất ok nhưng tôi lại ko có tiền để đóng mà cứ bắt đóng, mà ko đóng thì ko cho học, học xong chủ đề thú cưng muốn qua chủ đề gia đình gì đấy thì bắt đóng",2021-12-12 05:52:11,Neutral,"The class is very good, but I don't have money to pay so I have to pay. If I don't pay, I won't be allowed to study. After studying the pet topic, if I want to go to a family topic or something, I'll have to pay."
