review_id,app_id,rating,comment,date,comment_en
0b134c22-615f-41e7-bc35-8ad6cc5fd1d1,1,4,mik có thắc mắc là sao trên đt cái giao diện khác còn máy tính hay trên web khác á?. vd: cái đt thì là pin năng lượng còn trên máy tính lại là hình trái tim và trên đt nó bắt mắt hơn khi hoàn thành btap ấy. sao ko giống nhau nhỉ,2026-01-24 14:27:58,"I wonder why the interface on the phone is different and the computer or the website is different?For example: on the phone it's a battery, but on the computer it's a heart shape and on the phone it's more eye-catching when it's done.Why aren't they the same?"
fd82e4b9-c1b8-48a5-8f29-c854f9596faf,1,5,cập nhật bản mới khi học có phần dịch nghĩa rất thú vị. tuy nhiên phần dịch nghĩa này gây ra cho mình sự khó chịu khi mik nói xong rồi và muốn ấn vào để nó kiểm tra thì k được và mik cứ phải nói đi nói lại rất nhiều lần và nó cứ hiện rằng là vẫn đang ghi âm làm cho mình không biết rằng là như thế nào là đúng và đến lúc mà mình ngừng nói và chờ được một lúc rồi thì nó lại hiện ra là không nói. mik nghĩ rằng là app cần điều chỉnh lại cái phần dịch nghĩa ở trong phần học để có thể hoàn thiện hơn.,2026-01-24 16:03:56,"Update the new version when studying with a very interesting translation.However, this translation makes me uncomfortable when I finish speaking and want to press it to check, but I can't and I have to say it over and over again and it keeps showing that it's still recording, making me not know what is right and when I stop talking and wait for a while, it shows that I'm not speaking.mik thinks that the app needs to adjust the translation part in the learning section to be more perfect."
0b897ed1-29b3-4d3c-ba9a-358e3d7f1d77,1,4,tôi là một người không biết gì về tiếng trung trước khi được doulingo dạy còn bây giờ tôi có thể nói về tiếng trung,2026-01-25 00:07:22,I was someone who knew nothing about Chinese before being taught by doulingo and now I can talk about Chinese
3206cb5f-baf1-45d7-9690-f808ffecac67,1,5,mình thấy trò chơi này rất hay và mang lại cho mình một cách nhanh chóng có thể học được tiếng trung cảm ơn bạn nhiều,2026-01-25 00:17:46,"I find this game very good and gives me a quick way to learn Chinese, thank you very much"
a858babc-6e63-4535-912b-bf8f79e8d2cc,1,5,duolingo giúp mình học tiếng anh rất giỏi và mình thường được cô và thầy khen nữa cảm ơn duolingo đã giúp mình cảm ơn bạn nhiều lắm,2026-01-25 04:03:31,Duolingo helps me learn English very well and I often get compliments from teachers and teachers. Thank you Duolingo for helping me. Thank you very much.
b603210c-0481-4eb0-9a9f-86614d489510,1,5,"học rất dễ, còn hiểu được nên mới được 9 điểm t.anh. cảm ơn duolingo rất nhiều vì đã đồng hành cùng mình suốt 1 năm qua. mong năm 2026 duolingo có thể cho sự kiện ra mắt nhìu hơn để có thể cho các bạn nhỏ vừa học vừa tham gia sự kiện! cảm ơn duolingo bé nhỏ!💞",2026-01-25 04:32:10,"It's very easy to learn and still understandable, so I got 9 tanh points.Thank you very much duolingo for accompanying me for the past year.Hopefully in 2026 duolingo can launch more events so that children can both learn and participate in the event!Thank you little duolingo!💞"
0ad8a76e-6e50-4396-8f45-33d73bdc238b,1,5,"giờ lấy 5tr xong góp tháng 6 tròn năm, vô vaytotnhat đây này. i found the other courses okay, but when playing chess, it freezes when i'm about to win. furthermore, while i was studying level 28 of part 3, it jumped back to level 26.",2026-01-25 06:34:46,"Now take 5 million and contribute it for a full year in June, come to vaytotnhat here.i found the other courses okay, but when playing chess, it freezes when i'm about to win.furthermore, while i was studying level 28 of part 3, it jumped back to level 26."
0bd21e5f-38eb-47f5-b03c-80b5bf5bcdc3,1,5,"mượn khoảng 5tr thì vào vaytotnhat, do mình đang thiếu số. i found the other courses okay, but when playing chess, it freezes when i'm about to win. furthermore, while i was studying level 28 of part 3, it jumped back to level 26.",2026-01-25 06:45:19,"I borrowed about 5 million then went to vaytotnhat, because I was short of numbers.i found the other courses okay, but when playing chess, it freezes when i'm about to win.furthermore, while i was studying level 28 of part 3, it jumped back to level 26."
8a588503-497c-45ba-9466-eb7e7aa3d739,1,5,"app rất hay , học vui nhộn và dễ tiếp thu nhưng vẫn còn một số lỗi cẩn pk sửa vì vậy tôi cho 5*",2026-01-25 08:17:11,"The app is very good, fun to learn and easy to absorb, but there are still some errors that need to be fixed so I give it 5*"
c391ffbe-16c1-43e7-bce4-18b105346a3b,1,4,"ư!huhuhuhu,sao tui lên top 4 giải đấu hắc diện thạch mà không đc lên giải đấu kim cương,ư ư ư,bác đềnh cái app hư hư hư hư.",2026-01-25 11:08:04,"Uh! Huhuhuhu, why did I get to the top 4 of the obsidian tournament but not the diamond tournament? Ugh, I blame the app for being so bad."
